,min change day 1,corr with change day 2
0,0.0,-0.002
0,0.1,-0.002
0,0.2,-0.003
0,0.3,-0.004
0,0.4,-0.005
0,0.5,-0.006
0,0.6,-0.012
0,0.7,-0.016
0,0.8,-0.022
0,0.9,-0.03
0,1.0,-0.039
0,1.1,-0.048
0,1.2,-0.056
0,1.3,-0.065
0,1.4,-0.074
0,1.5,-0.083
0,1.6,-0.093
0,1.7,-0.109
0,1.8,-0.113
0,1.9,-0.128
0,2.0,-0.13
0,2.1,-0.133
0,2.2,-0.143
0,2.3,-0.156
0,2.4,-0.173
0,2.5,-0.19
0,2.6,-0.201
0,2.7,-0.2
0,2.8,-0.196
0,2.9,-0.194
0,3.0,-0.209
0,3.1,-0.222
0,3.2,-0.229
0,3.3,-0.247
0,3.4,-0.254
0,3.5,-0.268
0,3.6,-0.278
0,3.7,-0.287
0,3.8,-0.286
0,3.9,-0.309
0,4.0,-0.326
0,4.1,-0.319
0,4.2,-0.326
0,4.3,-0.315
0,4.4,-0.327
0,4.5,-0.328
0,4.6,-0.337
0,4.7,-0.344
0,4.8,-0.322
0,4.9,-0.362
0,5.0,-0.368
0,5.1,-0.366
0,5.2,-0.511
0,5.3,-0.542
0,5.4,-0.612
0,5.5,-0.612
0,5.6,-0.612
0,5.7,-0.612
0,5.8,-0.623
0,5.9,-0.62
0,6.0,-0.606
0,6.1,-0.606
0,6.2,-0.687
0,6.3,-0.675
0,6.4,-0.742
0,6.5,-0.747
0,6.6,-0.747
0,6.7,-0.743
0,6.8,-0.746
0,6.9,-0.737
0,7.0,-0.723
0,7.1,-0.714
0,7.2,-0.714
0,7.3,-0.714
0,7.4,-0.714
0,7.5,-0.714
0,7.6,-0.709
0,7.7,-0.744
0,7.8,-0.744
0,7.9,-0.744
0,8.0,-0.744
0,8.1,-0.744
0,8.2,-0.744
0,8.3,-0.748
0,8.4,-0.748
0,8.5,-0.748
0,8.6,-0.748
0,8.7,-0.748
0,8.8,-0.748
0,8.9,-0.737
0,9.0,-0.729
0,9.1,-0.695
0,9.2,-0.695
0,9.3,-0.838
0,9.4,-0.828
0,9.5,-0.828
0,9.6,-0.956
0,9.7,-0.956
0,9.8,-0.956
0,9.9,-0.956
0,10.0,-0.956
0,10.1,-0.956
0,10.2,-0.956
0,10.3,-0.956
0,10.4,-0.956
0,10.5,-0.956
0,10.6,-0.956
0,10.7,-0.956
0,10.8,-0.939
0,10.9,-0.939
0,11.0,-0.939
0,11.1,-0.939
0,11.2,-0.939
0,11.3,-0.939
0,11.4,-0.939
0,11.5,-0.939
0,11.6,1.0
0,11.7,1.0
0,11.8,1.0
0,11.9,1.0
0,12.0,
0,12.1,
0,12.2,
0,12.3,
0,12.4,
0,12.5,
0,12.6,
0,12.7,
0,12.8,
0,12.9,
0,13.0,
0,13.1,
0,13.2,
0,13.3,
0,13.4,
0,13.5,
0,13.6,
0,13.7,
0,13.8,
0,13.9,
0,14.0,
0,14.1,
0,14.2,
0,14.3,
0,14.4,
0,14.5,
0,14.6,
0,14.7,
0,14.8,
0,14.9,
0,15.0,
